epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,579.933,0.47637,0.28582,0.79706,0.99339,0.98223,0.98746,0.88277,0.43609,0.25784,0.77861,0.000231213,0.000231213,0.000231213
89,586.666,0.46762,0.28455,0.79101,0.99375,0.98219,0.98729,0.88522,0.42767,0.25294,0.77984,0.00021471,0.00021471,0.00021471
90,593.64,0.47138,0.27766,0.79461,0.99399,0.98221,0.98748,0.89433,0.40766,0.24582,0.77787,0.000198206,0.000198206,0.000198206
91,617.754,0.45426,0.27815,0.78308,0.99398,0.982,0.98762,0.88977,0.41474,0.25562,0.77877,0.000181703,0.000181703,0.000181703
92,624.842,0.43995,0.26508,0.78737,0.99391,0.98148,0.98691,0.89417,0.4186,0.25063,0.7782,0.0001652,0.0001652,0.0001652
93,631.866,0.42794,0.26273,0.78305,0.99178,0.98338,0.98639,0.8927,0.40847,0.25011,0.77773,0.000148696,0.000148696,0.000148696
94,638.569,0.43704,0.26149,0.78838,0.99218,0.98327,0.98573,0.88787,0.41632,0.25026,0.77789,0.000132193,0.000132193,0.000132193
95,645.566,0.42851,0.25788,0.78564,0.99353,0.98358,0.98695,0.89034,0.40756,0.24757,0.77762,0.00011569,0.00011569,0.00011569
96,652.089,0.42493,0.25583,0.785,0.9932,0.98353,0.98794,0.89491,0.40775,0.24857,0.77711,9.91865e-05,9.91865e-05,9.91865e-05
97,658.828,0.42311,0.25473,0.79142,0.9907,0.98354,0.98713,0.89955,0.40174,0.24284,0.77638,8.26832e-05,8.26832e-05,8.26832e-05
98,665.966,0.41747,0.25165,0.78373,0.99064,0.98374,0.98712,0.89921,0.40889,0.24485,0.77717,6.61799e-05,6.61799e-05,6.61799e-05
99,672.312,0.41115,0.24928,0.78033,0.99248,0.98378,0.98717,0.89991,0.39927,0.24127,0.77654,4.96766e-05,4.96766e-05,4.96766e-05
100,679.889,0.41378,0.24706,0.78703,0.99257,0.98378,0.98614,0.90205,0.39767,0.23882,0.77637,3.31733e-05,3.31733e-05,3.31733e-05
